2026-06-14 15:01:58,670 | DEBUG | Using selector: SelectSelector
2026-06-14 15:02:03,074 | DEBUG | Using selector: SelectSelector
2026-06-14 15:02:04,775 | DEBUG | Using selector: SelectSelector
2026-06-14 15:02:07,722 | DEBUG | Using selector: SelectSelector
2026-06-14 15:02:10,595 | DEBUG | Using selector: SelectSelector
2026-06-14 15:02:13,027 | DEBUG | Using selector: SelectSelector
2026-06-14 15:02:18,906 | DEBUG | Using selector: SelectSelector
2026-06-14 15:02:31,240 | DEBUG | Using selector: SelectSelector
2026-06-14 15:02:37,938 | DEBUG | Using selector: SelectSelector
2026-06-14 15:02:45,344 | DEBUG | Using selector: SelectSelector
2026-06-14 15:02:48,755 | DEBUG | User wants to see a book by id
2026-06-14 15:02:48,788 | INFO | The book were successfully displayed
2026-06-14 15:04:20,972 | DEBUG | Using selector: SelectSelector
2026-06-14 15:04:27,865 | DEBUG | Using selector: SelectSelector
2026-06-14 15:04:29,869 | DEBUG | Using selector: SelectSelector
2026-06-14 15:04:32,741 | DEBUG | Using selector: SelectSelector
2026-06-14 15:04:33,772 | DEBUG | Using selector: SelectSelector
2026-06-14 15:04:44,107 | DEBUG | Using selector: SelectSelector
2026-06-14 15:04:51,768 | DEBUG | Using selector: SelectSelector
2026-06-14 15:04:52,794 | DEBUG | Using selector: SelectSelector
2026-06-14 15:04:58,733 | DEBUG | Using selector: SelectSelector
2026-06-14 15:05:01,005 | DEBUG | Using selector: SelectSelector
2026-06-14 15:05:03,699 | DEBUG | Using selector: SelectSelector
2026-06-14 15:05:26,413 | DEBUG | Using selector: SelectSelector
2026-06-14 15:05:27,840 | DEBUG | Using selector: SelectSelector
2026-06-14 15:05:29,195 | DEBUG | Using selector: SelectSelector
2026-06-14 15:05:33,251 | DEBUG | User wants to see a book by id
2026-06-14 15:05:33,315 | INFO | The book were successfully displayed
2026-06-14 15:05:33,315 | ERROR | id not found
2026-06-14 15:08:17,281 | DEBUG | Using selector: SelectSelector
2026-06-14 15:08:18,968 | DEBUG | User wants to see a book by id
2026-06-14 15:08:19,019 | INFO | The book were successfully displayed
2026-06-14 15:08:24,966 | DEBUG | User wants to see a book by id
